t,x_exacta,x_euler,x_rk4,error_x_euler,error_x_rk4,y_exacta,y_euler,y_rk4,error_y_euler,error_y_rk4,error_norma_euler,error_norma_rk4
0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,1.0584404814108952,1.06,1.0584404866666666,0.001559518589104858,5.255771373668949e-09,-0.0848563426624556,-0.08,-0.08485642666666667,0.004856342662455604,8.400421105947409e-08,0.005100604109804053,8.416846564157474e-08
0.04,1.1130956537992795,1.1172,1.1130956506685348,0.004104346200720421,3.130744774537675e-09,-0.17963077635683483,-0.16960000000000003,-0.17963095507572194,0.010030776356834803,1.7871888710607742e-07,0.010837994835586711,1.7874630673465156e-07
0.06,1.162902688952426,1.170664,1.1629026612337077,0.007761311047573827,2.7718718431657408e-08,-0.2845817116182227,-0.26915200000000006,-0.2845819949646854,0.015429711618222652,2.833464626816884e-07,0.017271767419656466,2.8469904331718247e-07
0.08,1.2067147186922864,1.2193716799999998,1.2067146475157928,0.012656961307713432,7.11764935878989e-08,-0.39989247290276636,-0.37895424000000005,-0.39989286964044213,0.020938232902766307,3.9673767576742236e-07,0.02446647229650079,4.030718008156916e-07
0.1,1.2433022950695025,1.2622176416,1.2433021588172437,0.018915346530497423,1.362522588088666e-07,-0.5256597791969788,-0.49924122880000005,-0.5256602965512759,0.02641855039697877,5.17354297069339e-07,0.03249200116100127,5.349954642112662e-07
0.12,1.2713559133852255,1.298011401792,1.2713556876463592,0.026655488406774452,2.257388662663118e-07,-0.6618816753350303,-0.6301731138560001,-0.6618823185672605,0.03170856147903023,6.432322302574178e-07,0.04142400189833337,6.816932871791622e-07
0.14,1.289489706763817,1.3254782367910398,1.289489364331381,0.03598853002722291,3.4243243596243644e-07,-0.8084449721108153,-0.7718244128307201,-0.8084457440564058,0.03662055928009522,7.719455904497963e-07,0.05134432447220718,8.444879915156004e-07
0.16,1.2962464224243138,1.3432609779720446,1.2962459333398964,0.04701455554773082,4.890844174099129e-07,-0.965112265892049,-0.9241721365438464,-0.9651131664644901,0.04094012934820257,9.005724410648952e-07,0.06234150001722949,1.0248093915254573e-06
0.18,1.290103790235667,1.3499228657268596,1.290103121888839,0.0598190754911927,6.683468278811944e-07,-1.1315086219225599,-1.0870833429742408,-1.1315096475855044,0.04442527894831905,1.0256629445759557e-06,0.07451125554073673,1.2242025805458322e-06
0.2,1.2694823934596762,1.343951570232532,1.2694815107492436,0.0744691767728558,8.827104325259683e-07,-1.3071080198026634,-1.2603021728108441,-1.3071091630134277,0.04680584699181933,1.143210764276148e-06,0.08795706681016853,1.4443367194830421e-06
0.22,1.2327551496508962,1.3237644906216164,1.2327540152151877,0.09100934097072022,1.1344357084830392e-06,-1.4912196747193418,-1.4434364287980974,-1.4912209233479743,0.04778324592124439,1.2486286324886464e-06,0.10279075218469282,1.68701447490882e-06
0.24,1.178258506355275,1.2877154457550655,1.1782570808787742,0.1094569393997904,1.4254765008381298e-06,-1.6829743637970214,-1.6359437737757125,-1.6829757005260924,0.04703059002130883,1.3367290709886959e-06,0.11913311034520092,1.9541821470037075e-06
0.26,1.1043054513866712,1.2341028705983124,1.1043036939903015,0.12979741921164112,1.7573963697614658e-06,-1.8813109033797508,-1.8371176358626604,-1.8813123050910818,0.04419326751709041,1.4017113310060836e-06,0.13711460508581724,2.2479405365626613e-06
0.28,1.0092004309185778,1.1611796319651984,1.0091982996408335,0.15197920104662055,2.13127774428834e-06,-2.0849629400437153,-2.046072923662285,-2.08496437719941,0.038890016381430303,1.437155694894443e-06,0.156876100553644,2.570556615728649e-06
0.3,0.8912562602626721,1.0671645759901274,0.8912537126385822,0.17590831572745524,2.547624089910272e-06,-2.29244623556487,-2.261731669639238,-2.2924476715912045,0.03071456592563182,1.4360263347334978e-06,0.17856965056265878,2.9244760449590395e-06
0.32,0.7488131018725486,0.950255916978396,0.7488100956171047,0.20144281510584738,3.0062554439158617e-06,-2.5020466438007842,-2.4828087358968025,-2.5020480344847718,0.01923790790398172,1.390683987523289e-06,0.2023593458634681,3.312336599324928e-06
